conf/er/Davenport79	conf/sigmod/Codd71a
conf/er/Davenport79	conf/sigmod/DateC74
conf/er/Davenport79	books/aw/Date77
conf/er/Davenport79	journals/acj/Davenport79
conf/er/Davenport79	conf/sigmod/DeBlasisJ78
conf/er/Davenport79	conf/ds/HallOT76
conf/er/Davenport79	conf/ds/76
conf/er/Davenport79	conf/ifip/Nijssen77
conf/er/Davenport79	conf/ifip/Nolan77
conf/er/Davenport79	conf/sigmod/SchmidS75
conf/er/Davenport79	journals/ibmsj/SenkoAAF73
conf/er/Davenport79	conf/ds/Senko76
conf/er/Davenport79	journals/csur/FryS76
conf/er/CecilCL98	conf/sigmod/AgrawalIS93
conf/er/CecilCL98	conf/sigmod/BrinMS97
conf/er/CecilCL98	books/halsted/Everitt93
conf/er/CecilCL98	journals/tse/LarsonNE89
conf/er/CecilCL98	journals/dke/MannilaR94
conf/er/CecilCL98	conf/pkdd/ScottCHW97
conf/er/Choenni98	conf/vldb/AgrawalGIIS92
conf/er/Choenni98	conf/kdd/AugierVK95
conf/er/Choenni98	conf/icde/BronczWK98
conf/er/Choenni98	conf/dexaw/ChoenniS97
conf/er/Choenni98	conf/er/Choenni98
conf/er/Choenni98	books/bc/ElmasriN89
conf/er/Choenni98	conf/vldb/HanCC92
conf/er/Choenni98	conf/kdd/HolsheimerK94
conf/er/Choenni98	conf/sigmod/SrikantA96
conf/er/Roddick98	conf/sigmod/Chaudhuri97
conf/er/Roddick98	journals/sigmod/BernsteinDDGGJLLMNRRSSSS89
conf/er/Roddick98	conf/vldb/StonebrakerADNR93
conf/dasfaa/HarangsriSN97	books/wa/BreimanFOS84
conf/dasfaa/HarangsriSN97	conf/sigmod/ChenR94
conf/dasfaa/HarangsriSN97	conf/sigmod/Christodoulakis83
conf/dasfaa/HarangsriSN97	journals/is/Christodoulakis83
conf/dasfaa/HarangsriSN97	conf/sigmod/HaasS92
conf/dasfaa/HarangsriSN97	conf/pods/HouOT88
conf/dasfaa/HarangsriSN97	conf/sigmod/IoannidisC91
conf/dasfaa/HarangsriSN97	conf/sigmod/KamelK85
conf/dasfaa/HarangsriSN97	conf/sigmod/LiptonNS90
conf/dasfaa/HarangsriSN97	journals/csur/ManninoCS88
conf/dasfaa/HarangsriSN97	conf/sigmod/MuralikrishnaD88
conf/dasfaa/HarangsriSN97	conf/sigmod/Piatetsky-ShapiroC84
conf/dasfaa/HarangsriSN97	conf/icml/Quinlan93
conf/dasfaa/HarangsriSN97	conf/sigmod/SelingerACLP79
conf/dasfaa/HarangsriSN97	conf/sigmod/SuLRD93
conf/dasfaa/Yu99	conf/sigmod/AggarwalPWYP99
