Tao Zou	30.6526592	104.0747257
Jake Yue Chen	40.7607793	-111.8910474
Jun Huan	38.949202	-95.2641463
Gerald H. Lushington	38.949202	-95.2641463
Rosanna Verde	41.1061258	14.2130486
Henri Luchian	47.1742632	27.571638
Mohammad Saraee	32.7373617	51.5616308
Xu Gao	39.904211	116.407395
Yumin Zhao	39.904211	116.407395
M. Arun Kumar	28.5429676	77.193806
Mrinmaya Sachan	28.6139391	77.2090212
Ryutaro Ichise	35.7090259	139.7319925
M. S. Rajasree	12.9914929	80.2336907
Jian Zhuang	34.2499373	108.9886912
Bernardete Ribeiro	40.2033145	-8.4102573
Armando Vieira	41.1579438	-8.6291053
Joáo Duarte	41.1579438	-8.6291053
B. M. Patil	29.8662184	77.8953181
Kuangrong Hao	31.0318357	121.2103408
Dmitriy Komashinskiy	59.9342802	30.3350986
Ruud Wetzels	52.3561962	4.9470315
Raoul P. P. P. Grasman	52.3702157	4.8951679
Eric-Jan Wagenmakers	52.3561962	4.9470315
Jinxin Gao	39.768403	-86.158068
Freedom N. Gumedze	-33.9657883	18.48102
S. J. Welham	51.8095677	-0.3563221
Nicola Salvati	43.711194	10.4103726
M. Giovanna Ranalli	43.1107168	12.3908279
Ray Chambers	-34.4048874	150.880251
Mingan Yang	35.8991678	-78.8636402
David Dunson	35.8868141	-78.8763964
Donna Baird	35.8991678	-78.8636402
Josep Ginebra	41.3790881	2.1278398
Xavier Puig	41.3790881	2.1278398
Genaro Daza-Santacoloma	5.1627539	-75.662766
Carlos D. Acosta-Medina	5.070275	-75.5138166
Germán Castellanos-Domínguez	5.070275	-75.5138166
Jaakko Hollmén	60.1698557	24.938379
Bai Xiao	51.3661037	-2.3227844
Wenhua Wang	32.9854538	-96.7543188
Xunjian Che	45.7473103	126.6329723
Yuan Yuan	39.9834539	116.3266516
Tamer Shanableh	25.3163643	55.4905325
Khaled Assaleh	25.3163643	55.4905325
Hujun Yin	53.463993	-2.231197
Weilin Huang	53.4873621	-2.2271966
Oded Z. Maimon	32.1036332	34.8046043
Jens D. Nielsen	38.779652	-2.1646722
Rafael Rumí	36.8544828	-2.4109908
Antonio Salmerón	36.834047	-2.4637136
L. Mengual	40.442186	-3.7003236
Oscar Marban	40.4167754	-3.7037902
Santiago Eibe	40.442186	-3.7003236
Wei Hou	33.6858022	-117.8082831
Zhun Zhou	39.9891787	116.3396436
Gh. A. Montazer	35.6891975	51.3889736
Fernando Berzal	37.1776261	-3.6020343
Aída Jiménez	36.9879139	-3.5663073
A. Del Bimbo	43.7985362	11.2529979
Fabrizio Dini	43.7985362	11.2529979
G. Lisanti	43.8023469	11.2448827
Murat Kunt	46.5196535	6.6322734
Thierry Germa	43.604652	1.444209
N. Ouadah	36.6943775	2.9731072
Fan Chen	30.698826	104.054862
Silvio P. Sabatini	44.4056499	8.946256
F. Solari	44.4056499	8.946256
M. M. van Hulle	50.8798438	4.7005176
Nicolas Pugeault	56.1495541	-3.9182213
Roland Perko	46.0512135	14.5185278
Serge Belongie	39.503677	-77.926132
Jesús Alcalá-Fdez	36.9879139	-3.5663073
Andrea Bonarini	50.8503396	4.3517103
Oliver Kramer	51.7079179	8.7718403
Jinfu Liu	45.7473103	126.6329723
Yongbin Yang	45.803775	126.534967
Dariusz Malyszko	53.1324886	23.1688403
Jaroslaw Stepaniuk	53.1324886	23.1688403
Tiansi Hu	41.8120588	-72.2521017
Y. Fei	40.3492867	-74.6582332
Marco Loog	55.6760968	12.5683371
C. Zhang	22.3374868	114.1720025
D. A. Bell	54.685279	-5.9645025
Evan Wei Xiang	22.2917485	114.2715461
Derek Hao Hu	22.2917485	114.2715461
Alex Tze Hiang Sim	-37.884	145.0266
Maria Indrawan	-38.1532011	145.1340508
Samar Zutshi	-37.758	145.35
Wee-Keong Ng	42.2780183	-83.7370191
José M. Peña	40.4124967	-3.8706208
Christophe Rigotti	45.771944	4.8901709
Pedro Gómez-Vilda	40.3809156	-3.5863313
V. Robles	40.4167754	-3.7037902
Fazel Famili	45.4469556	-75.6220247
Neil Mac Parthaláin	52.417776	-4.065922
Q. Shen	55.9489418	-3.1872091
Reyer Zwiggelaar	52.6184758	1.2406141
Zorana Banković	40.4473608	-3.7384311
José Manuel Moya	40.4530047	-3.7270975
David Fraga	40.442186	-3.7003236
Juan Carlos Vallejo	40.4530047	-3.7270975
Wei-Wen Wu	24.765792	121.1080244
Yu-Ting Lee	24.797079	120.99678
Ming-Lang Tseng	24.0517963	120.5161352
Karin Becker	-30.0346471	-51.2176584
Mariangela Vanzin	-30.060644	-51.1741878
Yuwei Zong	31.230416	121.473701
P. A. Mitkas	43.0385723	-76.1345172
Arindam Biswas	22.5558616	88.3057061
Jo-Anne Ting	37.4418834	-122.1430195
Wolfgang Maass	48.0501442	8.2014192
Woongki Baek	37.413349	-122.1708056
Cynthia Dwork	42.4439614	-76.5018807
T. Pitassi	43.666663	-79.4023299
Shiva Prasad Kasiviswanathan	40.8018152	-77.8481049
M. Rudelson	38.9033716	-92.2785174
Jonathan Ullman	42.3800977	-71.1166286
Hazel Asuncion	33.664081	-117.853022
Arthur Asuncion	33.6508393	-117.853345
Jane Cleland-Huang	41.9251341	-87.6525127
Adam Czauderna	41.9251341	-87.6525127
Marek Gibiec	41.9251341	-87.6525127
John Emenecker	41.9251341	-87.6525127
Barbara Poblete	41.3850639	2.1734035
Ricardo A. Baeza-Yates	-33.3977867	-70.6562753
Joseph M. Hellerstein	37.8805941	-122.2447958
Daniel Kane	36.3665027	140.4709965
Jelani Nelson	40.3572976	-74.6672226
David Woodruff	36.3665027	140.4709965
Michael Hay	42.81917	-75.5368759
Vibhor Rastogi	31.767879	-106.440736
Gerome Miklau	47.6698745	-122.3102213
Rajendra Shinde	37.413349	-122.1708056
Pankaj Gupta	37.413349	-122.1708056
Debojyoti Dutta	34.1036186	-117.2914463
Zachary G. Ives	31.767879	-106.440736
Jinbao Wang	32.7531883	-117.1475926
Sai Wu	30.2929634	120.1689207
Eli Cortez	-3.1190275	-60.0217314
Altigran S. da Silva	-19.9166813	-43.9344931
Marcos André Gonçalves	-22.9099384	-47.0626332
Edleno Silva de Moura	-18.512178	-44.5550308
Arijit Khan	34.4120449	-119.851246
Xifeng Yan	37.9001975	-122.2744473
Kun-Lung Wu	41.2709274	-73.7776336
Pekka Kostamaa	33.9205822	-118.3954789
Like Gao	38.835268	-77.309476
Spyros Blanas	41.4444791	-87.6314312
Vuk Ercegovac	37.8805941	-122.2447958
Eugene J. Shekita	34.015501	-118.2930632
Sudipto Das	33.6858022	-117.8082831
Yannis Sismanis	38.9906657	-77.026088
Rainer Gemulla	51.0294529	13.7390843
P J Haas	37.3382082	-121.8863286
John McPherson	37.3382082	-121.8863286
